naslov,ESRB_deskriptor
The Walking Dead: A Telltale Games Series,Blood and Gore
The Walking Dead: A Telltale Games Series,Drug Reference
The Walking Dead: A Telltale Games Series,Intense Violence
The Walking Dead: A Telltale Games Series,Language
The Walking Dead: A Telltale Games Series,Sexual Themes
The Walking Dead: A Telltale Games Series,Strong Language
The Walking Dead: A Telltale Games Series,Violence
Unreal Tournament (1999),Animated Blood
Unreal Tournament (1999),Blood
Unreal Tournament (1999),Blood and Gore
Unreal Tournament (1999),Violence
Sid Meier's Alpha Centauri,Violence
Guitar Hero II,Lyrics
Rock Band,Lyrics
Rock Band,Suggestive Themes
Chrono Trigger,Animated Blood
Chrono Trigger,Blood
Chrono Trigger,Fantasy Violence
Chrono Trigger,Suggestive Themes
Chrono Trigger,Use of Alcohol
Chrono Trigger,Violence
Journey,Fantasy Violence
Journey,Violence
Conker's Bad Fur Day,Language
Conker's Bad Fur Day,Sexual Themes
Conker's Bad Fur Day,Strong Language
Conker's Bad Fur Day,Violence
Medal of Honor,Violence
Rock Band 2,Lyrics
Rock Band 2,Suggestive Themes
Rayman Origins,Comic Mischief
Rayman Origins,Suggestive Themes
Rayman Origins,Violence
Metroid Prime 2: Echoes,Animated Blood
Metroid Prime 2: Echoes,Blood
Metroid Prime 2: Echoes,Violence
Metroid Fusion,Violence
Final Fantasy VI Advance,Fantasy Violence
Final Fantasy VI Advance,Suggestive Themes
Final Fantasy VI Advance,Violence
Rayman Legends,Comic Mischief
Rayman Legends,Violence
Super Street Fighter IV,Alcohol Reference
Super Street Fighter IV,Language
Super Street Fighter IV,Suggestive Themes
Super Street Fighter IV,Violence
Rock Band 2,Lyrics
Rock Band 2,Suggestive Themes
Dishonored,Blood
Dishonored,Blood and Gore
Dishonored,Intense Violence
Dishonored,Language
Dishonored,Sexual Themes
Dishonored,Strong Language
Dishonored,Violence
Medal of Honor: Allied Assault,Violence
Myth: The Fallen Lords,Animated Blood
Myth: The Fallen Lords,Blood
Myth: The Fallen Lords,Blood and Gore
Myth: The Fallen Lords,Violence
LittleBigPlanet 2,Alcohol Reference
LittleBigPlanet 2,Comic Mischief
LittleBigPlanet 2,Violence
Guitar Hero,Lyrics
World of Warcraft: Wrath of the Lich King,Blood
World of Warcraft: Wrath of the Lich King,Blood and Gore
World of Warcraft: Wrath of the Lich King,Suggestive Themes
World of Warcraft: Wrath of the Lich King,Use of Alcohol
World of Warcraft: Wrath of the Lich King,Violence
Metroid Prime Trilogy,Animated Blood
Metroid Prime Trilogy,Blood
Metroid Prime Trilogy,Violence
Tony Hawk's Pro Skater 4,Blood
Tony Hawk's Pro Skater 4,Comic Mischief
Tony Hawk's Pro Skater 4,Lyrics
Tony Hawk's Pro Skater 4,Suggestive Themes
Baldur's Gate,Animated Blood
Baldur's Gate,Blood
Baldur's Gate,Language
Baldur's Gate,Use of Alcohol
IL-2 Sturmovik,Violence
Colony Wars,Violence
Ratchet & Clank: Up Your Arsenal,Crude Humor
Ratchet & Clank: Up Your Arsenal,Fantasy Violence
Ratchet & Clank: Up Your Arsenal,Violence
Resident Evil,Blood
Resident Evil,Blood and Gore
Resident Evil,Violence
Assassin's Creed II,Blood
Assassin's Creed II,Intense Violence
