naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev
World Soccer Winning Eleven 7 International,2004-02-17,93,28,8.3,57,E,KCET,,1-8 Players
NBA 2K2,2001-10-24,93,12,7.3,22,E,Visual Concepts,,
SoulCalibur II,2003-08-27,92,41,8.7,161,T,Namco,,1-2 Players
The Elder Scrolls V: Skyrim,2011-11-11,92,16,6.6,2704,M,Bethesda Game Studios,No Online Multiplayer,
Hades,2020-09-17,92,50,9.0,334,,Supergiant Games,,
Prince of Persia: The Sands of Time,2003-11-12,92,41,7.8,87,T,Ubisoft,,1 Player
Call of Duty 4: Modern Warfare,2007-11-05,92,40,8.5,3196,M,Infinity Ward,16 Players Online Up to 18 Players,1 Player
Forza Horizon 4,2018-09-28,92,88,8.1,1323,E,Playground Games,Up to 12 Players,
God of War III,2010-03-16,92,101,8.8,3304,M,SCE Santa Monica,,1 Player
Divinity: Original Sin II - Definitive Edition,2018-08-31,92,12,7.7,129,M,Larian Studios Games, Online Multiplayer,
NFL 2K3,2002-08-21,92,24,7.1,13,E,Visual Concepts,,1-4 Players
SSX Tricky,2001-11-05,92,33,8.8,100,E,EA Canada,,1-2 Players
NHL 2002,2001-09-24,92,22,8.3,26,E,EA Sports,,1-8 Players
Guitar Hero II,2007-04-03,92,55,8.1,236,T,Harmonix Music Systems,,1-2 Players
Prince of Persia: The Sands of Time,2003-11-06,92,44,8.8,327,T,Ubisoft,,1 Player
Uncharted 3: Drake's Deception,2011-11-01,92,97,8.4,4612,T,Naughty Dog,,1 Player 1-2 Players
Rock Band,2007-11-20,92,72,8.0,187,T,Harmonix Music Systems,,1-4 Players
Journey,2015-07-21,92,45,8.3,2233,E,Tricky Pixels,2 Players,
Bloodborne,2015-03-24,92,100,8.9,10394,M,From Software,Up to 5 Players,
Eternal Darkness: Sanity's Requiem,2002-06-23,92,41,8.7,219,M,Silicon Knights,,1 Player
Warcraft III: Reign of Chaos,2002-07-03,92,40,9.2,2041,T,Blizzard Entertainment,,
SSX 3,2003-10-20,92,27,8.7,54,E,EA Canada,,1-2 Players
The Sims,2000-02-04,92,38,7.9,665,T,Maxis,,
Banjo-Kazooie,1998-05-31,92,19,9.1,472,E,Rare Ltd.,,1 Player
Sid Meier's Gettysburg!,1997-09-30,92,7,7.4,40,E,Firaxis Games,,1-8 Players
Celeste,2018-01-25,92,36,8.5,835,E10+,Matt Makes Games Inc.,No Online Multiplayer,
Rock Band 2,2008-12-18,92,10,7.2,50,T,Harmonix Music Systems,,1-4 Players
Forza Motorsport,2005-05-03,92,73,7.6,235,E,Microsoft Game Studios,,1-2 Players
Madden NFL 2004,2003-08-12,92,27,7.6,52,E,EA Tiburon,,1-4 Players
Super Street Fighter IV,2010-04-27,92,58,7.8,221,T,Capcom,Up to 8 Players,
World Soccer Winning Eleven 7 International,2004-04-09,92,7,6.8,80,E,KCET,,1-2 Players
Advance Wars,2001-09-09,92,28,8.9,134,E,Intelligent Systems,,1-4 Players
Vagrant Story,2000-05-15,92,19,9.1,206,T,SquareSoft,,1 Player
What Remains of Edith Finch,2017-07-19,92,12,7.7,203,T,Giant Sparrow,No Online Multiplayer,
Team Fortress 2,2007-10-10,92,17,9.1,6724,M,Valve Software, 24 Players Online Up to 32 Players,
System Shock 2,1999-08-11,92,20,9.1,638,M,"Looking Glass Studios, Irrational Games",,1 Player
Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,92,36,8.7,500,M,Ubisoft Montreal,,1-4 Players
Final Fantasy XII,2006-10-31,92,64,7.6,1432,T,Square Enix,,1 Player
Undertale,2017-08-15,92,18,6.9,755,E10+,"tobyfox, 8-4",No Online Multiplayer,
Madden NFL 2003,2002-08-12,92,13,7.4,18,E,EA Sports,,1-4 Players
The Witcher 3: Wild Hunt,2015-05-19,92,79,9.2,15751,M,CD Projekt Red Studio,,
Super Mario World: Super Mario Advance 2,2002-02-09,92,28,9.0,185,E,Nintendo,,
ESPN NFL 2K5,2004-07-20,92,42,8.0,126,E,Visual Concepts,,1-4 Players
Super Smash Bros. Melee,2001-12-02,92,38,9.1,866,T,HAL Labs,,1-4 Players
Madden NFL 2003,2002-08-12,92,16,7.2,18,E,EA Tiburon,,1-4 Players
Virtua Tennis,2000-06-08,92,23,7.3,8,E,Hitmaker,,
Rome: Total War,2004-09-22,92,58,9.1,1340,T,Creative Assembly,8 Players Online No Online Multiplayer,1-8 Players
Forza Motorsport 3,2009-10-27,92,90,8.1,551,E,Turn 10,8 Players Online Up to 8 Players,1-2 Players
Okami HD,2017-12-12,92,10,7.9,192,T,Capcom,,
Undertale,2015-09-15,92,43,8.4,4446,,tobyfox,,
Batman: Arkham Asylum,2009-08-25,92,78,8.8,1253,T,Rocksteady Studios,No Online Multiplayer,1 Player
Super Mario Sunshine,2002-08-25,92,61,8.5,756,E,Nintendo,,1 Player
SSX 3,2003-10-20,92,27,8.2,29,E,EA Canada,,1-2 Players
SoulCalibur II,2003-08-27,92,39,8.7,63,T,Namco,,1-2 Players
Tony Hawk's Pro Skater,1999-08-31,92,18,8.8,110,T,Neversoft Entertainment,,1-2 Players
Thief: The Dark Project,1998-11-30,92,18,9.0,397,M,Looking Glass Studios,,1 Player
Fire Emblem: Awakening,2013-02-04,92,72,9.1,1473,T,Intelligent Systems,No Online Multiplayer,
Age of Empires II: The Age of Kings,1999-09-30,92,21,9.1,1165,T,Ensemble Studios,No Online Multiplayer Up to 8 Players,
Final Fantasy X,2001-12-17,92,53,8.9,1673,T,SquareSoft,,1 Player
Prince of Persia: The Sands of Time,2003-11-18,92,33,8.1,63,T,Ubisoft,,1 Player
The Walking Dead: A Telltale Games Series,2012-04-27,92,12,8.6,1224,M,Telltale Games,No Online Multiplayer,
Unreal Tournament (1999),1999-11-30,92,21,9.0,601,M,Epic Games,,1-32 Players
Sid Meier's Alpha Centauri,1999-02-12,92,19,8.8,249,E,Firaxis Games,,
Wave Race 64,1996-11-01,92,13,8.3,104,E,Nintendo,,1-2 Players
Divinity: Original Sin II - Definitive Edition,2018-08-31,92,46,7.9,393,M,Larian Studios Games, Online Multiplayer Up to 4 Players,
Galactic Civilizations II: Twilight of the Arnor,2008-04-30,92,19,8.3,138,,Stardock,,1 Player
Super Smash Bros. for Wii U,2014-11-21,92,77,8.9,2035,E10+,Bandai Namco Games,Up to 4 Players Up to 8 Players,
Guitar Hero II,2006-11-07,92,69,8.4,146,T,Harmonix Music Systems,,1-2 Players
Final Fantasy VII,1997-09-03,92,20,9.1,2118,T,SquareSoft,,1 Player
Rock Band,2007-11-20,92,35,8.1,124,T,Harmonix Music Systems,4 Players Online,1-4 Players
Chrono Trigger,2008-11-25,92,57,9.1,653,E10+,TOSE,,1 Player
Bayonetta 2,2018-02-16,92,31,8.5,442,M,"Nintendo, PlatinumGames",,
Journey,2012-03-13,92,78,8.8,1517,E,ThatGameCompany,,
Xenoblade Chronicles,2012-04-06,92,59,9.2,1337,T,Monolith Soft,,
Conker's Bad Fur Day,2001-03-04,92,19,9.0,355,M,Rare Ltd.,,
Medal of Honor,1999-10-31,92,17,8.8,156,T,Dreamworks Interactive,,1-2 Players
PaRappa the Rapper,1997-10-31,92,15,7.6,79,K-A,NanaOn-Sha,,1 Player
Rock Band 2,2008-09-14,92,69,8.1,164,T,Harmonix Music Systems,4 Players Online,1-4 Players
Mario Kart 8 Deluxe,2017-04-28,92,95,8.6,1952,E,Nintendo,Up to 12 Players,
The ICO & Shadow of the Colossus Collection,2011-09-27,92,58,8.7,658,T,Bluepoint Games,No Online Multiplayer,1 Player
Rayman Origins,2011-11-15,92,13,8.5,172,E10+,UBlart Montpellier,,1-4 Players
Metroid Prime 2: Echoes,2004-11-15,92,60,8.8,387,T,Retro Studios,,1-4 Players
Out of the Park Baseball 17,2016-03-22,92,8,3.3,237,,Out Of The Park Developments,,
Metroid Fusion,2002-11-17,92,44,9.0,313,E,Nintendo,,1 Player
The Witcher 3: Wild Hunt - Blood and Wine,2016-05-30,92,50,9.3,3088,M,CD Projekt Red Studio,,
