naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev 
Get Even,2017-06-20,75,31,7.5,105,,The Farm 51,,
Culdcept Saga,2008-02-05,75,33,8.6,53,T,"Omiya Soft, Jamsworks",,1-4 Players
Battlezone: Gold Edition,2018-05-01,75,7,,,T,Rebellion,Up to 4 Players,
Pokemon Picross,2015-12-03,75,15,7.5,76,E,"Nintendo, Jupiter Corporation",No Online Multiplayer,
Spin the Bottle: Bumpie's Party,2013-08-08,75,10,7.7,23,E,Redgrim AB,,1-8 Players
PlayStation All-Stars Battle Royale,2012-11-20,75,15,7.5,238,T,Bluepoint Games,,
Iron Brigade,2012-08-13,75,7,5.3,41,T,Double Fine Productions,,
Naruto: Ultimate Ninja Storm,2008-11-04,75,32,8.1,132,T,CyberConnect2,,1-2 Players
I Am Setsuna,2017-03-03,75,28,7.5,143,E10+,Tokyo RPG Factory,,
Alice: Madness Returns,2011-06-14,75,29,8.4,665,M,Spicy Horse,,1 Player
Concrete Genie,2019-10-08,75,83,8.3,298,E10+,Pixel Opus,,
Hitman - Intro Pack,2016-03-11,75,17,3.9,217,,Io Interactive,,
Not a Hero,2015-05-14,75,57,6.9,51,,roll7,,
Afterparty,2019-10-29,75,24,6.8,47,,Night School Studio,,
LEGO Rock Band,2009-11-03,75,36,7.7,20,E10+,TT Fusion,No Online Multiplayer,
Bloodroots,2020-02-28,75,16,7.9,15,T,Paper Cult,No Online Multiplayer,
Persona Dancing: Endless Night Collection,2018-12-04,75,19,6.8,20,T,Atlus,No Online Multiplayer,
Valentino Rossi The Game,2016-06-17,75,19,7.4,63,E,"Milestone, Milestone S.r.l",Up to 12 Players,
GRID Autosport,2014-06-24,75,35,6.5,68,E,Codemasters,Up to 12 Players,
Star Trek: Bridge Crew,2017-05-30,75,42,7.0,63,E10+,"Ubisoft, Red Storm Entertainment",,
The Sims 2,2005-10-24,75,31,7.1,9,T,Maxis,,1-2 Players
Attack on Titan 2,2018-03-20,75,50,7.4,65,M,Omega Force,Up to 8 Players,
Scarface: The World Is Yours,2006-10-08,75,46,8.6,143,M,Radical Entertainment,,1 Player
Ghost of a Tale,2018-03-13,75,25,8.3,104,,"Ghost of a Tale, SeithCG",,
Tokyo Xanadu eX+,2017-12-08,75,16,7.8,51,T,Falcom,No Online Multiplayer,
Table Top Racing: World Tour,2017-03-10,75,8,5.6,5,E,Playrise Digital,,
Transformers: Devastation,2015-10-06,75,25,7.6,67,T,PlatinumGames,No Online Multiplayer,
Cloudberry Kingdom,2013-08-01,75,8,7.0,23,T,Pwnee Studios,,1-4 Players
And Yet It Moves,2009-04-02,75,10,6.2,110,E,Broken Rules,,1 Player
Top Spin 3,2008-06-23,75,36,7.5,21,E,Pam Development,,1-4 Players
Fenix Rage,2014-09-24,75,20,6.9,16,,Green Lava Studios,No Online Multiplayer,
Uplink: Hacker Elite,2001-10-09,75,13,8.1,127,E,Introversion,,
Another World,2018-07-09,75,13,7.8,16,T,The Digital Lounge,No Online Multiplayer,
"Sakura Wars: So Long, My Love",2010-03-30,75,30,7.8,30,T,Idea Factory,,1 Player
Quake 4,2005-11-18,75,52,6.9,97,M,Raven Software,,1 Player
Crash Bandicoot 2: N-Tranced,2003-01-07,75,21,7.8,58,E,Vicarious Visions,,1-2 Players
Dead Head Fred,2007-08-28,75,30,7.4,27,M,Vicious Cycle,,1-2 Players
DiRT Showdown,2012-06-12,75,53,6.5,60,E10+,Codemasters,,
Manifold Garden,2020-08-18,75,9,7.3,6,,William Chyr Studio LLC,,
DreamWorks Kung Fu Panda,2008-06-03,75,42,7.3,36,E10+,"Luxoflux, Inc.",,1-4 Players
Push Me Pull You,2016-05-03,75,11,6.6,8,E,House House,,
Shank,2010-08-24,75,45,7.4,55,M,Klei Entertainment,,
Yomawari: Night Alone,2016-10-25,75,21,8.3,23,T,Nippon Ichi Software,No Online Multiplayer,
Kingdom Hearts 358/2 Days,2009-09-29,75,53,8.4,387,E10+,h.a.n.d. Inc.,No Online Multiplayer,
Darkwatch,2005-08-16,75,43,8.1,26,M,High Moon Studios,,1-4 Players
Attentat 1942,2017-10-31,75,13,7.5,8,,Charles University,,
Exit,2007-10-24,75,12,7.7,7,E,Taito Corporation,,1 Player
Kerbal Space Program,2016-07-15,75,13,7.2,17,E,"Flying Tiger Entertainment Inc., Squad",,
Resident Evil: Revelations 2,2015-03-17,75,22,7.8,161,M,Capcom,,
Sly Cooper: Thieves in Time,2013-02-05,75,69,8.3,422,E10+,Sanzaru Games,,1 Player
Final Fantasy Fables: Chocobo Tales,2007-04-03,75,42,7.2,32,E,h.a.n.d. Inc.,4 Players Online,1-4 Players
ScourgeBringer,2020-10-21,75,10,,,,Flying Oak Games,,
Dark Fall 3: Lost Souls,2010-04-21,75,8,7.0,30,,Darkling Room,,1 Player
Pro Evolution Soccer 2009,2008-11-11,75,14,7.6,8,E,Konami,,1-2 Players
Blitzkrieg: Burning Horizon,2004-06-13,75,23,7.8,12,T,Nival Interactive,,1 Player
Transformers,2004-05-11,75,51,8.6,32,T,Melbourne House,,1 Player
Jurassic Park: Operation Genesis,2003-03-25,75,13,8.6,28,T,Blue Tongue Entertainment,,1 Player
BloodRayne,2002-10-15,75,18,8.4,40,M,Terminal Reality,,1 Player
Beyond Atlantis II,2001-10-24,75,8,6.9,16,T,Cryo Interactive,No Online Multiplayer,1 Player
Toy Story 2: Buzz Lightyear to the Rescue!,1999-11-30,75,11,8.0,68,E,Traveller's Tales,,1 Player
Sleeping Dogs: Definitive Edition,2014-10-14,75,18,8.0,106,M,United Front Games,,
El Shaddai: Ascension of the Metatron,2011-08-16,75,44,7.0,49,T,Ignition Entertainment,,
Metal Gear Acid,2005-03-22,75,45,7.0,90,M,Konami,,1-2 Players
NBA Live 19,2018-09-07,75,12,6.5,33,E,"EA Sports, EA Tiburon",Up to 10 Players,
Game of Thrones: Episode Six - The Ice Dragon,2015-11-17,75,13,6.7,47,M,Telltale Games,,
The Dishwasher: Dead Samurai,2009-04-01,75,24,7.8,23,M,Ska Studios,2 Players Online,1-2 Players
Grand Theft Auto: Vice City Stories,2007-03-05,75,37,7.7,130,M,Rockstar Leeds,,1 Player
The Ninja Saviors: Return of the Warriors,2019-10-15,75,8,6.8,13,T,NATSUME ATARI Inc.,No Online Multiplayer,
My Time At Portia,2019-04-16,75,12,5.0,38,E10+,Pathea Games,No Online Multiplayer,
Hotline Miami 2: Wrong Number,2015-03-10,75,18,7.7,186,M,Dennaton,,
The Wolf Among Us: Episode 4 - In Sheep's Clothing,2014-05-27,75,29,8.2,193,M,Telltale Games,,
The Next Big Thing,2011-04-21,75,30,7.3,48,E10+,Pendulo Studios,No Online Multiplayer,
Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,2010-06-22,75,23,7.5,15,E10+,Telltale Games,No Online Multiplayer,
echoshift,2010-02-24,75,29,8.3,4,E,"Artoon, SCEJ",,
WWE SmackDown vs. Raw 2010,2009-10-20,75,7,8.7,9,T,Yuke's,,
Final Fantasy Crystal Chronicles: Echoes of Time,2009-03-24,75,37,7.5,26,E10+,Square Enix,,
Chibi-Robo!,2006-02-06,75,46,8.6,37,E10+,Skip Ltd.,,1 Player
The Bard's Tale,2004-10-26,75,50,7.5,6,T,InXile Entertainment,,1 Player
Still Life,2005-05-04,75,27,7.6,111,M,Microids,No Online Multiplayer,1 Player
Green Day: Rock Band,2010-06-08,75,54,6.6,33,T,"Harmonix Music Systems, Demiurge Studios",,
Shadow of Rome,2005-02-08,75,52,8.6,89,M,Capcom,,1 Player
Sonic Mega Collection Plus,2004-11-02,75,20,7.9,14,E,Sonic Team,,1-2 Players
Road Not Taken,2014-08-05,75,20,6.5,17,E,Spry Fox,,
Call of Juarez: Gunslinger,2013-05-14,75,16,7.9,158,M,Techland,,
Smash T.V.,2005-11-24,75,15,8.3,14,T,Digital Eclipse,2 Players Online,1-2 Players
The Escapists 2,2017-08-21,75,12,7.5,51,,Mouldy Toof Studios,,
escapeVektor,2012-12-20,75,12,7.6,8,E,Nnooo,,
Tak 2: The Staff of Dreams,2004-10-11,75,22,8.6,13,E,Avalanche Software,,1-2 Players
The Dark Eye: Chains of Satinav,2012-06-22,75,24,7.6,135,,Daedalic Entertainment,,
Afterparty,2019-10-29,75,12,6.8,35,M,Night School Studio,No Online Multiplayer,
Nidhogg 2,2018-11-22,75,12,7.5,8,,Messhof,,
Ode,2017-11-27,75,19,6.7,10,,Ubisoft Reflections,,
Monster Lab,2008-11-04,75,8,,,E10+,Backbone Entertainment,,
Game of Thrones: Episode One - Iron From Ice,2014-12-02,75,44,7.3,304,M,Telltale Games,No Online Multiplayer,
inbento,2020-03-12,75,8,7.5,4,E,Afterburn,No Online Multiplayer,
Neo Cab,2019-10-03,75,17,6.8,19,T,Chance Agency,No Online Multiplayer,
Chime Sharp,2017-02-24,75,8,2.1,7,E,Chilled Mouse,,
Metrico+,2017-01-20,75,8,,,E,Digital Dreams,,
Prison Architect,2016-07-01,75,14,6.8,11,,"Introversion, Double Eleven",,
Need for Speed Carbon,2006-10-31,75,12,7.8,19,E10+,EA Canada,,1-2 Players
NBA Street Showdown,2005-04-27,75,25,8.2,18,E,EA Canada,,1-4 Players
Assassin's Creed: Brotherhood - The Da Vinci Disappearance,2011-03-08,75,13,8.4,35,M,Ubisoft Montreal,,1 Player
Nihilumbra,2013-09-24,75,11,6.5,65,,"BEAUTIFUN GAMES SL, BeautiFun Games",,
Dead Nation: Road of Devastation,2011-09-27,75,10,6.6,16,M,Housemarque,,
Command & Conquer 3: Kane's Wrath,2008-06-23,75,31,7.1,24,T,EA LA,4 Players Online,1 Player
Myst IV: Revelation,2005-03-29,75,17,,,T,Ubisoft Montreal,,1 Player
Dungeons 3,2017-10-13,75,17,7.6,57,T,Realmforge Studios,,
Warp,2012-03-13,75,9,5.8,48,M,Trapdoor,,
Dragon Ball: Advanced Adventure,2006-06-06,75,7,8.5,21,E10+,Dimps Corporation,,1-2 Players
Hidden & Dangerous 2,2003-10-21,75,26,8.6,68,M,Illusion Softworks,,
Dynasty Warriors 4,2003-09-05,75,18,8.8,18,T,Omega Force,,1-2 Players
Mortal Kombat: Tournament Edition,2003-08-27,75,14,8.2,11,M,Criterion Games,,1-4 Players
NHL 2003,2002-09-30,75,12,7.4,17,E,EA Sports,,
Mat Hoffman's Pro BMX,2001-09-11,75,9,7.8,5,E,Runecraft,,
Dynasty Warriors 2,2000-10-25,75,17,8.7,35,T,Omega Force,,1 Player
X-Men: Mutant Academy,2000-07-11,75,18,7.6,22,T,Paradox Development,,1-2 Players
Airfix Dogfighter,2000-01-14,75,7,7.7,39,E,Paradox Interactive,,1-8 Players
Shovel Knight Showdown,2019-12-10,75,18,7.3,10,E10+,Yacht Club Games,No Online Multiplayer,
NightSky,2012-10-25,75,14,7.6,17,E,Nicalis,,1 Player
The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,2019-03-26,75,10,7.3,30,,"Telltale Games, Skybound Games",,
Omensight,2018-05-15,75,11,6.6,31,,Spearhead Games,,
Bomber Crew,2017-10-19,75,8,7.6,29,E10+,Runner Duck,No Online Multiplayer,
The Evil Within: The Consequence,2015-04-21,75,11,7.8,97,,Tango Gameworks,,
Super Princess Peach,2006-02-27,75,48,7.8,48,E,TOSE,No Online Multiplayer,1 Player
Hakuoki: Memories of the Shinsengumi,2013-09-19,75,12,7.6,19,M,Idea Factory,No Online Multiplayer,
The King of Fighters XI,2007-11-13,75,30,8.6,20,T,SNK Playmore,,1-2 Players
Stella Deus: The Gate of Eternity,2005-04-26,75,31,8.6,20,T,Pinegrow,,1 Player
Shakedown Hawaii,2019-05-07,75,12,7.3,39,T,Vblank Entertainment Inc.,No Online Multiplayer,
Chroma Squad,2015-04-30,75,21,7.7,112,,Behold Studios,,
Beatbuddy: Tale of the Guardians,2013-08-06,75,20,7.4,36,,Threaks,No Online Multiplayer,
Disney DuckTales Remastered,2013-08-13,75,31,7.5,152,E,WayForward,,
Marvel's Spider-Man: Silver Lining,2018-12-21,75,20,7.1,107,T,Insomniac Games,No Online Multiplayer,
Bit.Trip Fate,2010-10-25,75,14,8.1,7,E,Gaijin Games,,1 Player
Shenmue I & II,2018-08-21,75,32,8.4,260,T,"Sega, d3t Ltd",No Online Multiplayer,
Just Cause,2006-09-27,75,21,7.1,260,M,Avalanche Studios,,1 Player
Double Dragon Advance,2003-11-14,75,21,8.4,5,T,Million,,1-2 Players
Borderlands 3: Moxxi's Heist of the Handsome Jackpot,2019-12-19,75,11,5.8,67,M,Gearbox Software,,
Pocket Rumble,2018-07-05,75,12,7.5,17,T,"Chucklefish, Cardboard Robot Games",Online Multiplayer,
Resident Evil: Revelations 2 - Episode 4: Metamorphosis,2015-03-17,75,15,6.7,41,M,Capcom,,
Unmechanical: Extended Edition,2015-02-10,75,14,6.6,36,E,Grip Games,,
Observation,2019-05-21,75,45,6.3,64,M,No Code,No Online Multiplayer,
Doraemon: Story of Seasons,2019-10-11,75,24,7.9,32,E,Brownies,No Online Multiplayer,
Mass Effect 3: Leviathan,2012-08-28,75,7,6.8,185,M,BioWare,,
Symphony,2012-08-06,75,13,7.6,51,,Empty Clip Studios,,
Black Future '88,2019-11-21,75,19,7.5,10,T,SuperScarySnakes,Online Multiplayer,
Neversong,2020-05-20,75,21,7.6,21,,"Serenity Forge, Thomas Brush",,
Biped,2020-03-26,75,10,7.6,36,E,NExT Studios,Online Multiplayer,
Bleed,2017-12-14,75,10,7.3,17,T,BootdiskRevolution,Online Multiplayer,
Ironcast,2015-03-26,75,10,7.3,27,,Dreadbit,,
Samurai Jack: Battle Through Time,2020-08-21,75,11,7.7,6,T,Soleil,No Online Multiplayer,
Coffee Talk,2020-01-29,75,11,7.5,30,T,Toge Productions,No Online Multiplayer,
Disney Classic Games: Aladdin and the Lion King,2019-10-29,75,13,7.0,21,E10+,Digital Eclipse,No Online Multiplayer,
The Flame in the Flood,2017-10-12,75,11,7.5,38,T,The Molasses Flood,No Online Multiplayer,
Attack on Titan 2: Final Battle,2019-07-05,75,17,5.1,17,M,Omega Force, Up to 8 Players,
"Gremlins, Inc.",2016-03-11,75,16,5.7,60,,Yukitama Creative Industries,,
Assault Heroes 2,2008-05-14,75,24,5.3,6,T,Wanako Studios,2 Players Online,1-2 Players
Phantom: Covert Ops,2020-06-23,75,15,8.5,4,M,nDreams,No Online Multiplayer,
Hydro Thunder Hurricane,2010-07-28,75,56,8.2,81,E,Vector Unit Inc.,,
The Stretchers,2019-11-08,75,20,7.2,17,E,Tarsier Studios,No Online Multiplayer,
Broken Sword 5 - The Serpent&#39;s Curse,2018-09-21,75,20,7.7,18,T,Ravenscourt,No Online Multiplayer,
Sorcerer King,2015-07-16,75,21,6.2,49,,Stardock,,
Swords & Soldiers II,2015-05-21,75,24,7.9,25,T,Ronimo Games,,
The Eye of Judgment,2007-10-24,75,43,8.2,51,T,SCEJ,2 Players Online,1-2 Players
Madden NFL 06,2005-09-20,75,23,7.9,16,E,EA Tiburon,,1-2 Players
Drakensang: The Dark Eye,2009-02-23,75,35,8.3,174,T,Radon Labs,,
LEGO Star Wars III: The Clone Wars,2011-03-22,75,43,7.8,59,E10+,Traveller's Tales,No Online Multiplayer,
Gun,2005-11-16,75,53,7.6,71,M,Neversoft Entertainment,,1 Player
X-Men Origins: Wolverine,2009-05-01,75,74,8.3,125,M,Raven Software,,1 Player
Carrion,2020-07-23,75,57,7.8,165,,Phobia Game Studio,,
Ion Fury,2020-05-14,75,13,6.5,16,M,"3D Realms, Voidpoint, LLC",No Online Multiplayer,
Overland,2019-09-19,75,8,6.7,6,E10+,Finji,No Online Multiplayer,
The Gardens Between,2018-09-20,75,18,5.1,12,E,The Voxel Agents,No Online Multiplayer,
Total War: Arena,2018-02-22,75,7,7.8,8,,Creative Assembly,,
Life is Strange: Before the Storm - Episode 3: Hell is Empty,2017-12-20,75,11,6.3,63,M,Deck Nine Games,No Online Multiplayer,
Reus,2016-10-11,75,8,4.1,7,E10+,"BlitWorks, Soedesco",,
Event[0],2016-09-14,75,34,6.9,51,,Ocelot Society,,
Tropico 5 Penultimate Edition,2016-05-24,75,10,6.3,21,T,Kalypso,,
Resident Evil: Revelations 2,2015-03-17,75,30,7.7,462,M,Capcom,2 Players,
Guardians of Middle-Earth,2012-12-04,75,20,7.3,47,T,Monolith Productions,Up to 10 Players,
NBA Jam,2010-11-15,75,30,7.3,24,E,EA Canada,,1-4 Players
Spider-Man: Shattered Dimensions,2010-09-07,75,13,7.9,20,T,Beenox,,
Sol Survivor,2010-03-15,75,7,7.7,42,,Cadenza,,
Ultimate Spider-Man,2005-09-22,75,26,8.2,105,T,Beenox,,1 Player
Missing: Since January,2004-06-25,75,24,6.5,10,M,Lexis Numerique,,1 Player
Prince of Persia: The Sands of Time,2003-10-30,75,25,7.8,8,T,Ubisoft Montreal,,1 Player
Magic: The Gathering Online,2002-06-14,75,9,5.0,37,T,Leaping Lizard Software Inc.,,1-6 Players
Worms World Party,2001-06-16,75,8,7.8,86,E,Team17,,1-6 Players
Blade of Darkness,2001-02-19,75,17,8.6,136,M,Rebel Act Studios,,1-8 Players
A Total War Saga: TROY,2020-08-13,74,49,6.0,195,T,Creative Assembly,No Online Multiplayer Online Multiplayer,
Dead or Alive 5 Last Round,2015-02-17,74,39,7.3,221,M,Team Ninja,Up to 16 Players,
Evolve,2015-02-10,74,31,5.1,350,M,Turtle Rock Studios,,
Sonic the Hedgehog 4: Episode I,2010-10-12,74,51,6.1,114,E,Dimps Corporation,,
Evoland 2: A Slight Case of Spacetime Continuum Disorder,2015-08-25,74,24,7.6,56,,Shiro Games,,
Tokyo Xanadu,2017-06-30,74,20,8.0,31,T,Falcom,No Online Multiplayer,
Batman: The Brave and the Bold - The Videogame,2010-09-07,74,14,8.1,11,E10+,WayForward,,
Pato Box,2018-07-09,74,14,7.5,13,T,Bromio,No Online Multiplayer,
Anomaly 2,2014-09-16,74,15,6.9,16,T,11 bit studios,,
Sundered,2017-07-28,74,39,7.3,55,T,Thunder Lotus Games,No Online Multiplayer,
Railway Empire,2018-01-26,74,21,6.5,51,E,Gaming Minds Studios,No Online Multiplayer,
Tell Me Why,2020-08-27,74,30,5.2,147,,DONTNOD Entertainment,,
Every Extend Extra,2006-11-07,74,45,7.3,10,E,Q Entertainment,,1 Player
Ivy the Kiwi?,2010-08-24,74,30,7.2,12,E,Prope,,
Hasbro Family Game Night: Sorry! Sliders,2009-03-18,74,8,,,E,Electronic Arts,,1-4 Players
Real World Golf,2006-04-11,74,12,,,E,"Aqua Pacific, In2Games",,1-4 Players
Lara Croft and the Temple of Osiris,2014-12-09,74,40,6.5,170,T,Nixxes Software,Up to 4 Players,
Just Cause,2006-09-27,74,17,6.7,13,M,Avalanche Studios,,1 Player
Epistory - Typing Chronicles,2016-03-30,74,16,7.7,44,,Fishing Cactus,,
Amnesia: Rebirth,2020-10-20,74,29,6.7,34,,Frictional Games,,
Arcade Spirits,2020-05-01,74,8,,,T,Fiction Factory Games,No Online Multiplayer,
Tricky Towers,2018-10-11,74,8,7.5,8,,WeirdBeard,No Online Multiplayer,
Minit,2018-04-03,74,8,6.4,16,E,"JW, Kitty, Jukio, and Dom",No Online Multiplayer,
Aegis Defenders,2018-02-08,74,23,7.0,23,E10+,"Humble Bundle, GUTS Department",No Online Multiplayer,
Furi,2018-01-11,74,16,7.3,43,M,The Game Bakers,,
Droplitz,2009-06-24,74,25,7.2,5,E,Blitz Arcade,,1 Player
Batman: Arkham VR,2016-10-11,74,62,7.2,177,M,Rocksteady Studios,,
Back to the Future: The Game - Episode I: It's About Time,2010-12-22,74,39,7.1,108,,Telltale Games,,1 Player
Chili Con Carnage,2007-02-27,74,37,7.4,18,M,Deadline Games,,1-2 Players
Dead Nation: Apocalypse Edition,2014-03-04,74,29,7.1,405,M,Sony Interactive Entertainment,,
The Wolf Among Us: Episode 4 - In Sheep's Clothing,2014-05-28,74,14,8.5,42,M,Telltale Games,,
The Walking Dead: The Telltale Series - A New Frontier Episode 3: Above the Law,2017-03-28,74,31,6.5,64,,Telltale Games,,
Rock of Ages 3: Make & Break,2020-07-21,74,7,,,,ACE Team,,
The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,2019-01-15,74,19,7.5,46,,"Telltale Games, Skybound Games",,
ClaDun x2,2011-08-30,74,12,8.3,21,T,System Prisma,,
Zoo Keeper,2005-01-18,74,40,7.5,13,E,"Buddiez, Inc.",,1-2 Players
Calling All Cars!,2007-05-10,74,23,7.1,13,E,"SCEA, Incognito Inc.",,1-4 Players
Romancing SaGa 3,2019-11-11,74,12,6.0,21,T,Square Enix,No Online Multiplayer,
Back to the Future: The Game - Episode II: Get Tannen!,2011-02-17,74,21,7.2,40,RP,Telltale Games,,
Costume Quest,2010-10-20,74,39,8.3,59,E10+,Double Fine Productions,,
Sky Force Reloaded,2018-02-01,74,16,7.5,24,E10+,Infinite Dreams Inc.,No Online Multiplayer,
LEGO DC Super-Villains,2018-10-16,74,42,7.1,35,E10+,TT Games,No Online Multiplayer,
Serious Sam II,2005-10-19,74,31,7.1,237,M,Croteam,16 Players Online,1-16 Players
Prototype 2,2012-04-24,74,69,7.0,194,M,Radical Entertainment,No Online Multiplayer,
Slain: Back from Hell,2016-08-01,74,10,8.1,26,,Wolf Brew Games,,
Call of Duty: Black Ops III - Eclipse,2016-04-19,74,12,3.6,20,,Treyarch,,
Atelier Meruru Plus: The Apprentice of Arland,2013-10-01,74,8,8.1,40,T,Gust,,
Red Faction II,2003-03-31,74,20,5.7,14,M,Outrage Games,,1-4 Players
Robotech: Battlecry,2002-10-27,74,11,8.5,4,T,Vicious Cycle,,1-2 Players
James Bond 007: Agent Under Fire,2002-03-13,74,16,6.7,35,T,Electronic Arts,,1-4 Players
Triple Play Baseball,2001-03-12,74,16,,,E,EA Sports,,1-2 Players
Tiger Woods PGA Tour 2001,2001-02-26,74,19,,,E,Stormfront Studios,,1-4 Players
Battlestations: Pacific,2009-05-12,74,31,7.8,52,T,Eidos Interactive,,
Destroy All Humans! 2,2006-10-17,74,39,8.6,66,T,Pandemic Studios,,1-2 Players
Inazuma Eleven Go: Light,2014-06-13,74,19,7.6,16,,Level 5,,
The Sims 3: Late Night Expansion Pack,2010-10-26,74,17,5.5,87,T,The Sims Studio,,
Everybody's Golf VR,2019-05-21,74,35,7.8,68,E,Clap Hanz,,
Resident Evil: Revelations 2 - Episode 2: Contemplation,2015-03-04,74,11,7.4,26,M,Capcom,,
The Sims 3: Ambitions,2010-06-01,74,25,7.1,56,T,EA Redwood Shores,,
Pokemon Trozei!,2006-03-06,74,32,7.3,23,E,Genius Sonority Inc.,,1-2 Players
Tiger Woods PGA Tour 14,2013-03-26,74,28,4.1,27,E,EA Tiburon,Up to 4 Players,
FlatOut: Head On,2008-04-04,74,28,8.2,28,T,Bugbear,,1-8 Players
Hellmut: The Badass from Hell,2019-05-31,74,7,,,T,Volcanicc,No Online Multiplayer,
Bladed Fury,2018-12-17,74,8,8.2,13,,NExT Studios,,
Lode Runner Legacy,2018-03-29,74,7,7.5,6,E,"Tozai Games, Tozai Games, Inc.",No Online Multiplayer,
Fallout 4: Nuka-World,2016-08-30,74,12,5.3,132,,Bethesda Game Studios,,
Adventures of Pip,2015-08-18,74,8,6.8,6,E10+,TicToc Games,,
Awesomenauts Assemble!,2014-03-04,74,7,7.0,84,T,"Abstraction Games, Ronimo Games",,
Medal of Honor,2010-10-12,74,71,6.8,294,M,"Dice, Danger Close",,1 Player
War World: Tactical Combat,2005-08-02,74,7,7.5,11,,Third Wave Games,8 Players Online,
Sam & Max: Save the World,2009-06-17,74,24,7.5,11,T,Telltale Games,,1 Player
Portal Knights,2017-11-22,74,18,7.6,45,E10+,Keen Games,No Online Multiplayer,
Greg Hastings' Tournament Paintball,2004-11-16,74,11,8.3,48,T,WXP,14 Players Online,1-14 Players
Overload,2018-05-31,74,8,7.6,31,,"Revival Productions, LLC", No Online Multiplayer Up to 8 Players,
Inazuma Eleven 2: Firestorm,2012-03-16,74,19,8.2,21,,Level 5,,
Patapon 3,2011-04-12,74,41,7.5,63,E,SCE Japan Studio,8 Players Online,1-8 Players
Need for Speed ProStreet,2007-11-13,74,8,7.1,18,E,Exient Entertainment,,1 Player
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,2014-10-15,74,38,7.7,93,,Pinkerton Road Studio,,
Shadowgrounds,2006-04-25,74,30,7.0,212,M,"Frozenbyte, Inc.",No Online Multiplayer,1-4 Players
Darksiders Genesis,2020-02-14,74,16,7.5,30,T,Airship Syndicate Entertainment,2 Players,
Tom Clancy's Rainbow Six: Lockdown,2005-09-06,74,39,6.6,28,M,"Red Storm Entertainment, Ubisoft Montreal",16 Players Online,1-16 Players
Majin and the Forsaken Kingdom,2010-11-23,74,46,8.0,30,T,Game Republic,No Online Multiplayer,
SuperHyperCube,2016-10-13,74,15,6.1,21,E,KOKOROMI,,
Spartan: Total Warrior,2005-10-25,74,33,8.5,95,M,Creative Assembly,,1 Player
Neon Abyss,2020-07-14,74,11,6.3,24,,Veewo Games,,
Castlevania Anniversary Collection,2019-05-16,74,16,5.1,30,T,"Konami, M2",No Online Multiplayer,
The Raven Remastered,2019-01-22,74,9,6.6,10,T,THQ Nordic,No Online Multiplayer,
The Room,2018-10-18,74,21,7.5,10,E,Fireproof Games,No Online Multiplayer,
ICEY,2018-05-31,74,13,8.3,14,E10+,X.D. Network Inc.,No Online Multiplayer,
CastleStorm: Definitive Edition,2014-09-23,74,12,5.9,19,T,Zen Studios,,
Shadows: Heretic Kingdoms,2014-06-13,74,15,7.1,57,,Games Farm,,
Edge (2011),2011-08-11,74,12,7.4,51,,"Two Tribes, Mobigame",,1 Player
Call of Duty: Black Ops,2010-11-09,74,13,6.6,57,T,n-Space,,
Naruto: Clash of Ninja Revolution,2007-10-23,74,23,7.9,28,T,8ing/Raizing,,1-4 Players
The SpongeBob SquarePants Movie,2004-10-27,74,14,7.7,13,E,Heavy Iron Studios,,1 Player
Titan Souls,2015-04-14,74,46,5.9,142,,Acid Nerve,,
Major League Baseball 2K10,2010-03-02,74,19,5.3,4,E,Visual Concepts,,
Spider-Man: Shattered Dimensions,2010-09-07,74,57,7.7,133,T,Beenox,,
Tetris Axis,2011-10-02,74,33,7.1,32,E,Hudson Soft,,1-8 Players
Far Cry 4: Valley of the Yetis,2015-03-10,74,15,7.1,47,M,Ubisoft Montreal,,
Rad,2019-08-20,74,31,6.7,26,T,Double Fine Productions,No Online Multiplayer,
RIDE 4,2020-10-05,74,16,7.0,22,,Milestone S.r.l,,
Radiata Stories,2005-09-06,74,36,8.7,85,T,Tri-Ace,,1 Player
Stealth Inc 2: A Game of Clones,2015-04-07,74,12,7.0,26,T,Curve Digital,,
Batman: Arkham Origins,2013-10-24,74,17,7.5,1465,T,Iron Galaxy Studios,,
Valkyrie Profile: Covenant of the Plume,2009-03-16,74,35,7.2,19,T,Tri-Ace,No Online Multiplayer,
Darkstalkers Chronicle: The Chaos Tower,2005-03-24,74,27,7.9,25,T,Capcom,,1-2 Players
Army of Two,2008-03-06,74,43,7.2,129,M,EA Montreal,,1-2 Players
Semblance,2018-07-24,74,27,7.4,7,E,Nyamakop,No Online Multiplayer,
Space Colony (Steam Edition),2015-04-30,74,10,8.1,11,,,No Online Multiplayer,
Sniper Elite III: Ultimate Edition,2015-03-10,74,9,6.8,41,M,Rebellion,Up to 12 Players,
Capcom Classics Collection Volume 2,2006-11-24,74,24,8.0,6,T,Digital Eclipse,,1-4 Players
Midway Arcade Treasures 2,2004-10-11,74,21,7.3,4,M,Backbone Entertainment,,1-4 Players
