naslov,publisher
Batman: Arkham Asylum,Eidos Interactive

Halo: Reach,Microsoft Game Studios

Galactic Civilizations II: Dark Avatar,Stardock

Mass Effect,Microsoft Game Studios

The Operative: No One Lives Forever,Fox Interactive

Crusader Kings III,Paradox Interactive

Forza Motorsport 4,Microsoft Game Studios

Resident Evil,Capcom

Battlefield 2,EA Games

God of War Collection,SCEA

Celeste,Matt Makes Games Inc.

Madden NFL 2005,EA Sports

Tony Hawk's Pro Skater 3,Activision

Street Fighter IV,Capcom

Fallout 3,Bethesda Softworks

Batman: Arkham City,Warner Bros. Interactive Entertainment

Fez,Trapdoor

Planescape: Torment,Interplay

Gears of War 3,Microsoft Game Studios

Killzone 2,SCEA

Neverwinter Nights,Atari

Neverwinter Nights,Atari SA

Batman: Arkham Asylum,Eidos Interactive

Castlevania: Aria of Sorrow,Konami

No One Lives Forever 2: A Spy in H.A.R.M.'s Way,Sierra Entertainment

INSIDE,PLAYDEAD

Legacy of Kain: Soul Reaver,Eidos Interactive

Dragon Age: Origins,Electronic Arts

Golden Sun,Nintendo

Rayman Legends,Ubisoft

F1 2020,Codemasters

Mark of the Ninja,Microsoft Game Studios

Disco Elysium,ZA/UM

World Soccer Winning Eleven 8 International,Konami

SteamWorld Heist: Ultimate Edition,Image & Form

The Legend of Zelda: A Link Between Worlds,Nintendo

Spelunky 2,Mossmouth

NieR: Automata - Game of the YoRHa Edition,Square Enix

Dark Souls II,Bandai Namco Games

Castlevania: Circle of the Moon,Konami

Resident Evil 2,Capcom

Far Cry 3,Ubisoft

Dark Souls II,Namco Bandai Games

Shovel Knight: Treasure Trove,Yacht Club Games

flower,SCEA

Mario Kart DS,Nintendo

Call of Duty,Activision

Madden NFL 2004,EA Sports

Mario Golf,Nintendo

Crash Bandicoot 3: Warped,SCEA

Assassin's Creed II,Ubisoft

Project Gotham Racing 2,Microsoft Game Studios

NBA 2K12,2K Sports

The Sims 2,EA Games

Animal Crossing: New Horizons,Nintendo

Final Fantasy XIV: Shadowbringers,Square Enix

World of Warcraft: Cataclysm,Blizzard Entertainment

Half-Life 2,Electronic Arts

NCAA Football 2003,EA Sports

Rayman 2: The Great Escape,Ubisoft

Bayonetta,Sega

Diablo III: Ultimate Evil Edition,Blizzard Entertainment

Overwatch,Blizzard Entertainment

Far Cry 3,Ubisoft

ICO,SCEA

Tom Clancy's Ghost Recon Advanced Warfighter,Ubisoft

FIFA Soccer 12,Electronic Arts

World of Goo,Take-Two Interactive

World of Goo,2D Boy

Mario & Luigi: Superstar Saga,Nintendo

Shovel Knight,Yacht Club Games

Tony Hawk's Underground,Activision

Marvel vs. Capcom 2,Capcom

Ape Escape,SCEA

Syphon Filter,989 Studios

Mario & Luigi: Bowser's Inside Story,Nintendo

Trials Evolution,Microsoft Game Studios

Grand Theft Auto IV: The Lost and Damned,Rockstar Games

FIFA Soccer 12,Electronic Arts

Monster Hunter: World - Iceborne,Capcom

Spelunky,Mossmouth

FIFA Soccer 10,Electronic Arts

Ratchet & Clank: Going Commando,SCEA

NBA Street Vol. 2,Electronic Arts

Tennis 2K2,Sega

Black & White,EA Games

Fallout 3,Bethesda Softworks

The Legend of Zelda: The Wind Waker HD,Nintendo

ESPN NFL 2K5,Sega

Portal,Electronic Arts

Portal,Valve Software

Tetris Effect,Enhance Games

The Legend of Zelda: Phantom Hourglass,Nintendo

MVP Baseball 2004,EA Sports

